,0,1
0,6006,56344159420.67799
1,12006,41823899808.46678
2,18006,19243281508.172844
3,24006,16732039536.485708
4,30006,7182272346.653156
5,36006,3938558633.370841
6,42006,3242072143.911856
7,48006,2284087857.552708
8,54006,1365173754.7678077
9,60006,1324563651.6085029
10,66006,566909113.1027209
11,69750,109010922.52968697
12,72150,96312229.83320229
13,74550,84291038.269136
14,76950,65291060.47301851
15,79350,37504205.745611265
16,81750,34894649.6800996
17,84150,26280936.596539423
18,86550,21219174.41626021
19,88950,18055621.36403132
20,91350,16033364.457246207
21,93750,12716378.895885771
22,99750,9926166.315965924
23,105750,8415678.542754445
24,111750,6374525.01438969
25,117750,6198093.265818542
26,123750,4224976.123037946
27,129750,3307392.5925047384
28,135750,3175891.1839098763
29,141750,2430172.9568566205
30,147750,1652926.4142950417
31,153750,1571219.166837759
32,159750,1251462.9567541154
33,162150,809180.3825429783
34,164550,747396.3767181984
35,166950,618771.8390494966
36,169350,604682.4320593765
37,171750,473532.63490460365
38,174150,446742.2640921663
39,176550,385850.867085214
40,178950,334761.4346713503
41,181350,328373.51942293684
42,183750,261447.43748121613
43,186150,255065.5641742384
44,192150,164036.83936296444
45,198150,154349.5070933297
46,204150,110608.84714030605
47,210150,85503.6290321531
48,216150,83585.56502145929
49,222150,58944.911482533375
50,228150,46222.79131457905
51,234150,43417.546068941876
52,240150,38386.421129675604
53,246150,27850.4336018163
54,252150,26733.711296649173
55,258342,8481.778212563426
56,264342,7975.059098100366
57,270342,6021.309309158755
58,276342,4937.238880453296
59,282342,3952.224770850084
60,288342,3746.988265630305
61,294342,2921.8600538347587
62,300342,2282.3862211110154
63,306342,1755.5958061402148
64,312342,1719.825510797029
65,318342,1392.3013247074998
66,321222,791.1175620094766
67,323622,788.4517684362229
68,326022,646.7158039579958
69,328422,624.4489614963962
70,330822,606.6966826259984
71,333222,539.2649052984282
72,335622,439.7098929138756
73,338022,435.39227450799984
74,340422,372.7571938139824
75,342822,366.70862575554736
76,345222,302.2486087715224
77,351414,164.38971527868762
78,357414,156.35041713981474
79,363414,137.5203717942826
80,369414,134.07057787573697
81,375414,107.58273181312555
82,381414,104.49106012669715
83,387414,97.30128839233852
84,393414,87.50730794447668
85,399414,85.60294939903189
86,405414,81.56186335772462
87,411414,75.68541073833521
88,414774,70.37698201913356
89,417174,66.85739352754474
90,419574,66.73950267637944
91,421974,65.1683088787427
92,424374,64.20331291768497
93,426774,62.12105558513099
94,429174,61.710572519689705
95,431574,59.67531119851011
96,433974,59.45719731654504
97,436374,56.21933912261136
98,438774,55.488922818683534
99,439974,54.761670695835065
100,442374,53.32997497734587
101,443574,52.82549888168942
102,444774,50.595559527493585
103,447174,49.37690126102039
104,448374,48.905295290472154
105,451974,48.42597429657646
106,454374,47.96384152006896
107,456774,47.922924906037785
108,459174,47.514536327399654
109,461574,47.500823038845716
110,463974,47.31631657962843
111,466374,47.17100807135284
112,468774,46.980615313753454
113,471174,45.639864518611134
114,473574,45.624900788557625
115,475974,45.551465711997935
116,478374,45.4538010129036
117,480774,45.43624772415581
118,483174,45.36116714055264
119,485574,45.21937433715462
120,487974,45.20712549348872
121,490374,44.8854442490673
122,492774,44.81313646006201
